name,score,evaluate,meta,url,cover_url
Python 编程金典,8.0,82,"P.J.Deitel,J.P.Liperi,B.A.Wiedermann,H.M.Deitel,清华大学出版社,2003-6,88.00元",https://book.douban.com/subject/1214355/,https://img3.doubanio.com/view/subject/l/public/s1326052.jpg
编程风格 : 好代码的逻辑,8.0,20,"[美]CristinaVideiraLopes,顾中磊,人民邮电出版社,2017-8,55.00元",https://book.douban.com/subject/27102599/,https://img3.doubanio.com/view/subject/l/public/s29507161.jpg
Head First Python（中文版） : Head First Python,7.9,517,"巴里（Barry.P.）,林琪等,中国电力出版社,2012-3-1,68.00元",https://book.douban.com/subject/10561367/,https://img3.doubanio.com/view/subject/l/public/s27262723.jpg
"""笨办法""学Python",7.9,487,"肖(ZedA.Shaw),王巍巍,人民邮电出版社,2014-11-1,CNY49.00",https://book.douban.com/subject/26264642/,https://img1.doubanio.com/view/subject/l/public/s27836847.jpg
Python学习手册（第4版）,7.9,434,"[美]MarkLutz,李军,刘红伟,机械工业出版社,2011-4,119.00元",https://book.douban.com/subject/6049132/,https://img3.doubanio.com/view/subject/l/public/s4683230.jpg
Python科学计算,7.9,167,"张若愚,清华大学出版社,2012-1,98.00元",https://book.douban.com/subject/7175280/,https://img1.doubanio.com/view/subject/l/public/s7025859.jpg
Python编程第4版,7.9,16,"卢茨(MarkLutz),邹晓,瞿乔,任发科,中国电力出版社,2015-1-1,CNY198.00",https://book.douban.com/subject/26314833/,https://img3.doubanio.com/view/subject/l/public/s28045361.jpg
Python基础教程,7.9,18,"[挪]MagnusLieHetland,袁国忠,人民邮电出版,2018-2-1,CNY99.00",https://book.douban.com/subject/27667375/,https://img3.doubanio.com/view/subject/l/public/s29667615.jpg
Python语言程序设计基础（第2版）,7.9,14,"嵩天,礼欣,黄天羽,高等教育出版社,2017-2,39",https://book.douban.com/subject/27021033/,https://img3.doubanio.com/view/subject/l/public/s29427220.jpg
从零开始学Python网络爬虫,7.9,10,"罗攀,蒋仟,机械工业出版社,2017-10,59",https://book.douban.com/subject/27180929/,https://img3.doubanio.com/view/subject/l/public/s29589841.jpg
Python 3.5从零开始学,7.9,11,"刘宇宙,清华大学出版社,2017-7,59",https://book.douban.com/subject/27179280/,https://img3.doubanio.com/view/subject/l/public/s29587853.jpg
寻路大数据 : 海量数据与大规模分析,7.9,21,"MichaelManoochehri,戴志伟,电子工业出版社,2014-11,59.00",https://book.douban.com/subject/26270372/,https://img3.doubanio.com/view/subject/l/public/s27880112.jpg
Python算法教程,7.8,49,"[挪威]MagnusLieHetland赫特兰,凌杰,陆禹淳,顾俊,人民邮电出版社,2016-1-1,69.00元",https://book.douban.com/subject/26699412/,https://img3.doubanio.com/view/subject/l/public/s29632153.jpg
Python数据分析与挖掘实战,7.8,74,"张良均,王路,谭立云,苏剑林,机械工业出版社,2016-1,69.00元",https://book.douban.com/subject/26677686/,https://img3.doubanio.com/view/subject/l/public/s28376942.jpg
编程导论,7.8,47,"[美]JohnV.Guttag,梁杰,人民邮电出版社,2015-4,59.00元",https://book.douban.com/subject/26368668/,https://img1.doubanio.com/view/subject/l/public/s28050499.jpg
Python Web开发：测试驱动方法 : 测试驱动方法,7.8,48,"HarryJ.W.Percival,安道,人民邮电出版社,2015-10,99",https://book.douban.com/subject/26640135/,https://img1.doubanio.com/view/subject/l/public/s28315327.jpg
Python性能分析与优化,7.8,11,"FernandoDoglio,陶俊杰,陈小莉,人民邮电出版社,2016-6-1,45.00元",https://book.douban.com/subject/26819420/,https://img3.doubanio.com/view/subject/l/public/s28825234.jpg
python机器学习,7.8,19,"SebastianRaschka,高明,机械工业出版社,2017-3-15,79",https://book.douban.com/subject/27000110/,https://img1.doubanio.com/view/subject/l/public/s29407827.jpg
Python Linux系统管理与自动化运维,7.8,21,"赖明星,机械工业出版社,2017-9-1,89.00元",https://book.douban.com/subject/27149544/,https://img3.doubanio.com/view/subject/l/public/s29554682.jpg
学习PYTHON—做个有编程能力的设计师 : 面向设计师的编程设计知识系统(PADKS),7.8,12,"江苏凤凰科学技术出版社,2015-1-1,138",https://book.douban.com/subject/26590884/,https://img1.doubanio.com/view/subject/l/public/s28991268.jpg
命令行中的数据科学,7.8,34,"[荷]JeroenJanssens,王晓伟,刘　峰,人民邮电出版社,2015-5,49.00元",https://book.douban.com/subject/26387975/,https://img1.doubanio.com/view/subject/l/public/s28070349.jpg
全栈数据之门,7.8,21,"任柳江,电子工业出版社,2017-4,79",https://book.douban.com/subject/26998034/,https://img1.doubanio.com/view/subject/l/public/s29402668.jpg
