name,score,evaluate,meta,url,cover_url
"Python for Data Analysis : Data Wrangling with Pandas, NumPy, and IPython",8.4,182,"WesMcKinney,O'ReillyMedia,2012-11-1,USD39.99",https://book.douban.com/subject/10760444/,https://img1.doubanio.com/view/subject/l/public/s29487687.jpg
Data Science from Scratch : First Principles with Python,8.4,30,"JoelGrus,O'ReillyMedia,2015-4-28,USD39.99",https://book.douban.com/subject/26364377/,https://img1.doubanio.com/view/subject/l/public/s28661517.jpg
Learn Python the Hard Way : A Very Simple Introduction to the Terrifyingly Beautiful World o,8.4,348,"ZedA.Shaw,Addison-WesleyProfessional,2013-10-11,USD39.99",https://book.douban.com/subject/11941213/,https://img3.doubanio.com/view/subject/l/public/s28015604.jpg
Python Cookbook,8.4,223,"AlexMartelli,AnnaRavenscroft,DavidAscher,O'ReillyMedia,2005-3-18,USD49.95",https://book.douban.com/subject/1418172/,https://img3.doubanio.com/view/subject/l/public/s4594606.jpg
Think Python : How to Think Like a Computer Scientist,8.4,216,"AllenB.Downey,O'ReillyMedia,2012-8-23,GBP29.99",https://book.douban.com/subject/10779534/,https://img3.doubanio.com/view/subject/l/public/s29586154.jpg
深入浅出Python（影印版）,8.4,59,"PaulBarry,东南大学出版社,2011-5,88.00元",https://book.douban.com/subject/6892016/,https://img1.doubanio.com/view/subject/l/public/s8851709.jpg
"Learning Python, 3rd Edition",8.4,200,"MarkLutz,O'ReillyMedia,Inc.,2007-10-22,USD39.99",https://book.douban.com/subject/2295097/,https://img3.doubanio.com/view/subject/l/public/s3213846.jpg
Web Scraping with Python : Collecting Data from the Modern Web,8.4,108,"RyanMitchell,O'ReillyMedia,2015-7-24,USD31.99",https://book.douban.com/subject/26284925/,https://img1.doubanio.com/view/subject/l/public/s28279508.jpg
Rapid GUI Programming with Python and Qt : The Definitive Guide to PyQt Programming (Prentice Hall Open Sou,8.4,65,"MarkSummerfield,PrenticeHall,2007-10-18,GBP39.99",https://book.douban.com/subject/3053232/,https://img3.doubanio.com/view/subject/l/public/s3936330.jpg
Python Machine Learning,8.4,36,"SebastianRaschka,PacktPublishing-ebooksAccount,2015-9,USD44.99",https://book.douban.com/subject/26629312/,https://img3.doubanio.com/view/subject/l/public/s28303775.jpg
Introduction to Computation and Programming Using Python : Revised and expanded edition,8.4,31,"JohnV.Guttag,TheMITPress,2013-7,USD25.00",https://book.douban.com/subject/22925199/,https://img3.doubanio.com/view/subject/l/public/s27119476.jpg
